,clean_text,Party,Textblob_Sentiments,Emotions
36,allan thompson liberal candidate huron-bruce greets visitors village bookstore bayfield. elexn pic.twitter.com/qyfwfrplx,liberals,0.0,Neutral
37,flashrogue retweeted ipolitics,unrelated tweets,0.0,Neutral
38,rt conservative platform commitment violates wto obligations experts ipolitics ipolitics.ca////conservative-platform-commitment-violates-wto-obligations-experts/ ... cdnpoli elxn,conservatives,0.0,Neutral
39,cdnpoli elxn elxb,unrelated tweets,0.0,Neutral
40,"mulcair know ""tpp"" bad seeing text. justintrudeau right need see first keep kill.",liberals,-0.05476190476190471,Negative
41,undemocratic unfair elxn act! tar feather disgusting fascistoid cpc thug cdnpoli roft,conservatives,-0.8125,Negative
42,irony cpc ads attacking lpc harper govt cdns fear! elxn cdnpoli abc,conservatives,0.0,Neutral
43,today last day advanced polling,unrelated tweets,0.2,Positive
44,great song chilliwack tinyurl.com/pfysaec,unrelated tweets,0.8,Positive
45,gop establishment go way stab conservative base back -w- conversations sunday talk shows? tcot,conservatives,-0.4,Negative
46,gonzolecture,unrelated tweets,0.0,Neutral
47,youre liberal really wanna atone columbusday wrongs,liberals,0.2,Positive
48,canadian,unrelated tweets,0.0,Neutral
49,thought liberal's deal last december remove children detention auspol last december,liberals,0.0,Neutral
50,what? heard believe setting emissions goals. whatever makeituasyougo cdnpoli elxn,unrelated tweets,0.0,Neutral
51,last leader standing come next election star touch startouch.thestar.com/screens/feace-ada-d-b-de%c_.html ... via cdnpoli,unrelated tweets,0.0,Neutral
52,lpc leading .% latest nanos poll! elexn cdnpoli redoctober,liberals,0.625,Positive
53,jlenarddetroit uniteright rednationrising teaparty,conservatives,0.0,Neutral
54,zoryana cherwick added,unrelated tweets,0.0,Neutral
55,elxn cdnpoli cpc nspoli,conservatives,0.0,Neutral
56,gerry gaydos retweeted jim harris,unrelated tweets,0.0,Neutral
57,thanks; intrigued happened,unrelated tweets,0.2,Positive
58,canadians need believe government side. elxn realchange cdnpoli pic.twitter.com/hsheuzxzfg,liberals,0.0,Neutral
59,buy lets wake people realtalk realchange,liberals,0.0,Neutral
60,must watch former pc premier nfld danny williams harper ow.ly/tfnts cdnpoli,conservatives,0.0,Neutral
61,thanks faving tweet >i voted liberal willowdale. go,liberals,0.2,Positive
62,sister cannot vote (she's tonight confirm conservative even though know means. elxn,conservatives,0.0,Neutral
63,progressive left,unrelated tweets,0.0,Neutral
64,cdnpoli twitter.com/nytimesworld/status/ ...,unrelated tweets,0.0,Neutral
65,"la_chute flip.it/ysiyp onpoli cdnpoli bygeorgejournal.ca/?p= need either them. version change destroy canada cdnpoli exln twitter.com/globeandmail/status/ ... friends roc, outstanding job tlmep! watched sunday night talk show quebec! realchange video real change now!/changer ensemble maintenan... newspaperpolitics.blogspot.com///video-real-change-nowchanger-ensemble.html ... cdnpoli lpc elxn elxn night, partnering up-to-the-minute updates glbn.ca/teuq cdnpoli pic.twitter.com/satyckesg tarek fatah added, thanks much realchange coming yegcentre thanks like you! elxn yeg he, cet hurluberlu renie que le quebec est une nation, il veut nous faire reculer de ans. jamais trudeau tlmep elx give real change"" work me. nickel do? cdnpoli",liberals,0.2330357142857143,Positive
66,keep us suspense! please make stupid statement early get day tool markham elxn cdnpoli,unrelated tweets,-0.35,Negative
67,seriously,unrelated tweets,-0.3333333333333333,Negative
68,'s promise young canadians,unrelated tweets,0.1,Positive
69,justin trudeau sticks upbeat strategy on.thestar.com/wvcwzm elxn elxn cdnpoli topoli onpoli canada pic.twitter.com/gisopvy,liberals,0.0,Neutral
70,million votes first days advance polls,unrelated tweets,0.25,Positive
71,cdnpoli else fails,unrelated tweets,-0.5,Negative
72,cdnpoli elxn fence-sitting noticeable quality. know way wind's blowing. nationalobserver.com////opinion/re-open-criminal-investigation-and-question-harper-says-policing-expert ...,conservatives,0.0,Neutral
73,elxn cdnpoli onpoli,unrelated tweets,0.0,Neutral
74,elxn night,unrelated tweets,0.0,Neutral
75,worldspeace amen,unrelated tweets,0.0,Neutral
76,ce sera une joie de voir l'hypocrite npd,ndp,0.0,Neutral
77,elxn harper campaign strategy afraid cultural diversity,conservatives,-0.25,Negative
78,tomasso added,unrelated tweets,0.0,Neutral
79,freedom,unrelated tweets,0.0,Neutral
80,rt tpp treaty full text wikileaks releases trans-pacific partnership intellectual property rights chapter elxn cdnpoli,unrelated tweets,0.325,Positive
81,put u non-inclusive cdnpoli elxn,unrelated tweets,0.0,Neutral
82,stevejmoran added,unrelated tweets,0.0,Neutral
83,elxn cdnpoli ndp shd reasons ndp creepier think (feat. mulcair,ndp,0.0,Neutral
84,cpc tanking polls. good thing harper brought australian. many vegemite sandwiches cost you? cdnpoli elxn,conservatives,0.4,Positive
85,elxn cdnpoli cpc nspoli,conservatives,0.0,Neutral
86,niqab trudeau cdnpoli pic.twitter.com/dfvvcpgci,liberals,0.0,Neutral
87,torontosun.com// he-cheaters-on-harpers-watch?token=eecabeac ... elxn cdnpoli,unrelated tweets,0.0,Neutral
88,pic.twitter.com/vdodaozj,unrelated tweets,0.0,Neutral
89,important remember ndp helping cpc recent years.,conservatives,0.2,Positive
90,"brilliant article. ""we simply tolerate difference",unrelated tweets,0.45,Positive
91,peebs yo! retweeted sabou,unrelated tweets,0.0,Neutral
92,youtu.be/wbsthbq,unrelated tweets,0.0,Neutral
93,cdnpoli elxn pic.twitter.com/fvfxzqxb,unrelated tweets,0.0,Neutral
94,canada officially moved duffy,unrelated tweets,0.0,Neutral
95,voted liberal realchange to! teamtrudeau,liberals,0.0,Neutral
96,well liberal all. intellect want spend vote,liberals,0.0,Neutral
97,yvonne dean added,unrelated tweets,0.0,Neutral
98,party one,unrelated tweets,0.0,Neutral
99,overheard hogtown added,unrelated tweets,0.0,Neutral
100,harper's economic record worst since great depression (cbc). rated dead last canadian pms job creation gdp growth. cdnpoli,conservatives,-0.04,Negative
101,ndp lies. unless suddenly ndp favours perpetual representation. civicilliteracy elxn lpc twitter.com/coreyhogan/status/ ...,ndp,0.0,Neutral
102,cdnpoli elxn twitter.com/daz/status/ ...,unrelated tweets,0.0,Neutral
103,party leaders grilled parenting skills bit.ly/lrhswg cdnpoli election,unrelated tweets,0.0,Neutral
104,ndp leader tommulcair's sat cbc's rosemarybarton powerandpolitics readychange tommulcairplq... fb.me/xdfxbwqi,ndp,0.0,Neutral
105,cnn decision time biden bit.ly/zwrz democrats dems obama topprog p liberal obama change,liberals,0.0,Neutral
106,art miki stopped let us know cast vote realchange you? info ow.ly/spae pic.twitter.com/vepfdrqow,liberals,0.0,Neutral
108,ethan rabidoux added,unrelated tweets,0.0,Neutral
109,democracy action elxn getoutandvote pic.twitter.com/mjrxlmbe,unrelated tweets,0.1,Positive
110,stacey-ann wilson added,unrelated tweets,0.0,Neutral
111,glenna added,unrelated tweets,0.0,Neutral
112,pml (n) leads near thousand votes. home ground primeminister think ptivspmln,unrelated tweets,0.1,Positive
113,bit.ly/gilzy niqab become 'dog-whistle' politics maybe kind think... cdnpoli,unrelated tweets,0.6,Positive
114,pls let us votetogether defeat harper move canada forward. join me. votetogether.ca elxn cdnpoli via,conservatives,0.0,Neutral
115,justin trudeau smacked every excuse vote cdnpoli huffingtonpost.ca////justin-trudeau-voting_n_.html ... via,liberals,-0.05,Negative
116,great welcoming realchange bus davenport elexn cdnpoli teamtrudeau lpc twitter.com/torsunphoto/status/ ...,liberals,0.8,Positive
117,elections.ca,unrelated tweets,0.0,Neutral
118,first ndp legislation would hike corporate taxes,ndp,0.125,Positive
119,believe criminal b/c smoke marijuana. realchange logical pic.twitter.com/sjumyewpht,liberals,-0.07500000000000001,Negative
120,weeks,unrelated tweets,0.0,Neutral
121,love hear answer question. lpc news chines 'fundraising team' bc ...no?,liberals,0.5,Positive
122,matters you? vote make difference! many others world cannot cdnpoli elxn pic.twitter.com/sqeririj,unrelated tweets,0.5,Positive
123,marla waltman retweeted bruce campion-smith,unrelated tweets,0.0,Neutral
124,anne cuthbert added,unrelated tweets,0.0,Neutral
125,omg trudeau would get schooled big time! seriously would book time work record this. fb.me/enlgevi,liberals,-0.1666666666666667,Negative
126,ottawa minutes hr wait democracy action cdnpoli,unrelated tweets,0.1,Positive
127,trust trudeau carbon pricing ... canadians know exactly liberal l... bit.ly/lctro justintrudeau,liberals,0.25,Positive
128,qui croit vraiment mulcair qd il dit qu'il va mettre fin l'entente tpp pas moi. twitter.com/ggnewsca/status/ ...,ndp,0.0,Neutral
129,"vote change must ensure change seek good canada. mcguinty ""change"" lost elxn onpoli cdnpoli",unrelated tweets,0.7,Positive
130,bet team wish participated debates lead. cdnpoli elxn,unrelated tweets,0.0,Neutral
131,first illegal immigrants european settlers. fnmi cdnpoli fb.me/zuolbx,unrelated tweets,-0.08333333333333333,Negative
132,revealing trudeau bcma make mockery piety politics torontosun.com// rudeau-and-bcma-make-a-mockery-of-piety-and-politics ...? elxn,liberals,0.0,Neutral
133,mulcair wants improved relationship country's firstnations people. tmpm realchange theglobeandmail.com/news/politics/elections/mulcair-wants-improved-relationship-with-countrys-first-nations-people/article/ ...,ndp,0.2,Positive
134,ipolitics.ca////kevin-pages-pre-election-fiscal-warning-the-process-has-been-completely-broken-/topper ... one reason govt go. elxn,unrelated tweets,0.0,Neutral
135,mb/sk polls cpc steady,conservatives,0.1666666666666667,Positive
136,theglobeandmail.com/news/politics/harper-attacks-trudeau-over-cost-of-liberal-pledges/article/ ...,liberals,0.0,Neutral
137,linda ward selbie added,unrelated tweets,0.0,Neutral
138,harper quotes becoming rather repetitive. twitter.com/patondabak/status/ ...,conservatives,0.1,Positive
139,cdnpoli elxn niagaravotes votestrategically niagara stcath onpoli twitter.com/billhillier/status/ ...,unrelated tweets,0.0,Neutral
140,bit.ly/znhwwj tory candidate supportive drug tests ei recipients... cdnpoli,conservatives,0.5,Positive
141,interesting b.c. one race (kootenay) appears pretty certain threehundredeight.com/p/canada.html elxn cdnpoli,unrelated tweets,0.3214285714285715,Positive
142,tpp bigpharma canada cdnpoli canpoli elxn twitter.com/armineyalnizyan/status/ ...,unrelated tweets,0.0,Neutral
143,always right thing. thank justin. lpc elxn twitter.com/justintrudeau/status/ ...,liberals,0.2857142857142857,Positive
144,bit.ly/bb_birds,unrelated tweets,0.0,Neutral
145,huge change latest polling data. clear canadians want realchange cdnpoli,liberals,0.3333333333333334,Positive
146,friends voting bloc says rest canada. also repeats years harper. real smart? okay!,conservatives,0.4732142857142857,Positive
147,cpc removed comedy video fb,conservatives,0.0,Neutral
148,trudeau commit emissions targets canada need 'ambitious political numbers' ift.tt/hwff cdnpoli canpoli,liberals,0.125,Positive
149,bit.ly/mfukvb danny williams voters 'can't trust' harper tpp... cdnpoli,conservatives,0.0,Neutral
150,onpoli cdnpoli elxn justnotready twitter.com/dremremm/status/ ...,liberals,0.0,Neutral
151,man bear walk bar... replaces dead cat live bear (niqab) cdnpoli theglobeandmail.com/globe-debate/a-man-and-his-bear-walk-into-a-bar/article/ ...,unrelated tweets,-0.03181818181818183,Negative
152,apartheid peace ...,unrelated tweets,0.0,Neutral
153,apart change. teamtrudeau lpc elxn twitter.com/justintrudeau/status/ ...,liberals,0.0,Neutral
154,elxn mulcair wrong enemy thestar.com/news/federal-election////mulcair-accuses-trudeau-of-backing-harper-on-tpp-deal.html ...,ndp,-0.5,Negative
155,elxn trudeau liberals harperman canada cdnpoli thestar.com/news/canada////justin-trudeau-woos-unhappy-tory-supporters.html ...,liberals,0.0,Neutral
157,makes canada great women take niqab state protect cdnpoli canadianvalues,unrelated tweets,0.8,Positive
158,"mulcair elections blocqc quebec.huffingtonpost.ca////mulcair-npd-bloc-quebecois-_n_.htmldans ... le chef du ndp soutenu que son parti avait ""defait le bloc quebecois separatiste""",ndp,0.0,Neutral
159,retweet let everyone know voted realchange yycheritage across canada! lpc pic.twitter.com/epldlptsv,liberals,0.0,Neutral
160,harper cannot inspire anyone go polls uses fear,conservatives,0.0,Neutral
161,uh oh...an atheist,unrelated tweets,0.0,Neutral
162,yvonne dean retweeted tabatha southey,unrelated tweets,0.0,Neutral
163,greenpeace,other_parties,0.0,Neutral
164,thought liberal party driving us recession auspol,liberals,0.0,Neutral
165,sorry,unrelated tweets,-0.5,Negative
166,elxn ndp mulcair,ndp,0.0,Neutral
167,cdnpoli elxn twitter.com/reporterdonpeat/status/ ...,unrelated tweets,0.0,Neutral
168,coup de grass added,unrelated tweets,0.0,Neutral
169,beecharb added,unrelated tweets,0.0,Neutral
170,cdnpoli cknw nbpoli harper pic.twitter.com/wjtwkmko,conservatives,0.0,Neutral
171,brad cabana retweeted john lubbock,unrelated tweets,0.0,Neutral
172,mulcair says stop tpp deal bit.ly/jyztc,ndp,0.0,Neutral
173,chris robinson retweeted torontostar,unrelated tweets,0.0,Neutral
174,sean devine added,unrelated tweets,0.0,Neutral
175,douglas connors retweeted globalnews.ca,unrelated tweets,0.0,Neutral
176,unicorns help change world youtube.com/watch?v=ybywhdloq ... cdnpoli elxn,unrelated tweets,0.0,Neutral
177,every time listen tommulcair wonder anyone else sees replacing dictatorharper dictatortom keeps ...,ndp,0.0,Neutral
178,nbcnews.to/zgrihi,unrelated tweets,0.0,Neutral
179,based,unrelated tweets,0.0,Neutral
180,day action harper govt. october th! pic.twitter.com/ziwrpcrno,conservatives,0.125,Positive
181,add tweet website copying code below. learn,unrelated tweets,0.0,Neutral
182,full tpp text next week. justin's excuse then? cdnpoli,liberals,0.09999999999999999,Positive
183,congratulations bluejays vote change tommulcair pm,ndp,0.0,Neutral
184,bill c-,unrelated tweets,0.0,Neutral
185,way add credibility blm movement liberal dumb asess,liberals,-0.375,Negative
186,trudeau,liberals,0.0,Neutral
187,zuneraishaq,unrelated tweets,0.0,Neutral
188,terry cormier added,unrelated tweets,0.0,Neutral
189,"funniest ""get vote"" message seen yet huff.to/fxyjx cdnpoli pic.twitter.com/iombwpeddm",unrelated tweets,0.0,Neutral
190,cdnpoli elexn even preston manning,unrelated tweets,0.0,Neutral
191,wish jump train ottawa tbay stop time restore cdnpoli gpc ottawasouth,other_parties,0.0,Neutral
192,castanet.net/news/canada//mulcair-would-stop-tpp ...,ndp,0.0,Neutral
193,robin m. retweeted tom mulcair,ndp,0.0,Neutral
194,getting ready mulcair! ndp yxe elxn pic.twitter.com/pvqpniuy,ndp,0.25,Positive
195,marie rose retweeted robert guenette,unrelated tweets,0.6,Positive
196,u tell novascotia ns,unrelated tweets,0.0,Neutral
197,jonathan waldie retweeted robert fife,unrelated tweets,0.0,Neutral
198,j. m. braun added,unrelated tweets,0.0,Neutral
199,mulcair priority-get rid harper trudeau priority-spend lots money now-pay later.harper priority-save money now.no contest.,conservatives,0.0,Neutral
200,mulcair tpp negotiations cdnelt,ndp,0.0,Neutral
201,retweeted gen acuna,unrelated tweets,0.0,Neutral
202,michel savard added,unrelated tweets,0.0,Neutral
203,even thanksgiving,unrelated tweets,0.0,Neutral
204,elxn read like harper's tv ads fb.me/mcwjjrg,conservatives,0.0,Neutral
205,bn deficit spending forced ndp lpc bn inherited lpc,liberals,-0.3,Negative
206,whoa,unrelated tweets,0.0,Neutral
207,bc retweeted dr.emremm,unrelated tweets,0.0,Neutral
208,stephen harper ready? fact goodtogo,conservatives,0.2,Positive
209,tmpm many ppl show hear tommulcair vore ndp candidate riding twitter.com/urban_su/status/ ...,ndp,0.5,Positive
210,frankiebeeeee added,unrelated tweets,0.0,Neutral
211,forgot password?,unrelated tweets,0.0,Neutral
212,daniel o'neail retweeted catherine cullen,unrelated tweets,0.0,Neutral
213,gord bolton retweeted sergey bobkov,unrelated tweets,0.0,Neutral
214,many canadians doors today remarked lpc attacks ndp happy trudeau team. doorcanvass,liberals,0.65,Positive
215,joe canuck retweeted tarek fatah,unrelated tweets,0.0,Neutral
216,tpp democratic,unrelated tweets,0.0,Neutral
217,politico happens vegas... bit.ly/jwnx democrats dems obama topprog p liberal obama change,liberals,0.0,Neutral
218,justintrudeau,liberals,0.0,Neutral
219,really need keep eye every cpc office look happened ab. shredshred. law,conservatives,0.2,Positive
220,"lpc shout ""stop harper!"" mask fact trudeau",liberals,0.0,Neutral
221,torontonian retweeted susan delacourt,unrelated tweets,0.0,Neutral
222,remember mulroney's pc's seats happen again. anyonebutharper cdnpoli votestrategically,unrelated tweets,0.0,Neutral
223,elizabethmay justintrudeau stephenharper thomasmulcair,liberals,0.0,Neutral
224,happy thanksgiving weekend,unrelated tweets,0.8,Positive
225,dear canada-as harper cpc gov sells billions weapons saud arabia- s. arabia going legally crucify old kid elxn elxn,conservatives,0.15,Positive
226,advance polls perth-wellington ethanrabidoux.ndp.ca/advance-polls tmpm readychange elxn cdnpoli ndp twitter.com/ndp_hq/status/ ...,ndp,0.0,Neutral
227,ereg.elections.ca/cwelcome.aspx,unrelated tweets,0.0,Neutral
228,trudeau bien defendu ses propositions sur la marijuana surtout.il degage une confiance et c'est payant politiquement! tlmep politique,liberals,0.0,Neutral
229,universenme peter c added,unrelated tweets,0.0,Neutral
230,...jeez! u r cocksucker liberal,liberals,0.0,Neutral
231,takebackourcountry elxn cdnpoli please tell friends voting,unrelated tweets,0.0,Neutral
232,volatility quebec vote offers main parties chance share province's... worldwideherald.com/khj cdnpoli elxn pic.twitter.com/xtsjqri,unrelated tweets,0.1333333333333333,Positive
233,jim crowell retweeted tabatha southey,unrelated tweets,0.0,Neutral
234,try visit twitter status,unrelated tweets,0.0,Neutral
235,cdnpoli women twitter.com/cbcnews/status/ ...,unrelated tweets,0.0,Neutral
236,elxn elxn,unrelated tweets,0.0,Neutral
237,harper tries fend trudeau last week canada vote prime minister stephen harper sou... bit.ly/lckmn justintrudeau,conservatives,-0.05,Negative
238,minjoeoliver blocked told enjoy new job taxhaven group kpmg cdnpoli elxn baby elxn truth,unrelated tweets,0.2681818181818182,Positive
239,pls support real conservative speakerofthehouse ohio conservative undo obama policies! jdwinteregg.com/issues,conservatives,0.25,Positive
240,listen brenda sayers' new radio ad! greensofnorthisland-powellriver.ca/radio-ad/ gpc elxn cdnpoli pic.twitter.com/xqbeocqc,other_parties,0.1704545454545454,Positive
241,mr. mufti temerity dart letter primeminister pm mend kashmir mla... fb.me/wwdgudg,unrelated tweets,0.0,Neutral
242,visited niagarafalls twice others? elxn ndp cdnpoli tommulcair,ndp,0.0,Neutral
243,debeauxos added,unrelated tweets,0.0,Neutral
244,harper talking stopping dump sewage st. lawrence even though supported months elexn cdnpoli,conservatives,0.0,Neutral
245,take back canada! votetogether strongest ndp gpc even lpc. stand harper! vote fear deception. elxn,liberals,0.0,Neutral
246,want vote nunavut's advance polls? could cost,unrelated tweets,0.0,Neutral
247,day canadian history october canadachannel.ca/todayincanadianhistory/index.php/october_ ... cdnhist cdnhistory cdnpoli histoireducanada canadianhistory,unrelated tweets,0.0,Neutral
248,cinalberta retweeted cory judson,unrelated tweets,0.0,Neutral
249,tpp work working people. canlab u elxn cdnpoli pic.twitter.com/wbytfos,unrelated tweets,0.0,Neutral
250,advance polls produce long lines,unrelated tweets,-0.05,Negative
251,ndp's tommulcair's got fire belly come-back kid next week? stopharper readychange... fb.me/izogo,ndp,0.0,Neutral
252,mulcair seems quite comfortable ndp settling traditional role third party backing lpc cdnpoli,ndp,0.1333333333333333,Positive
253,brad cabana retweeted conflict news,unrelated tweets,0.0,Neutral
254,scientists urge straight talk science ahead federal vote. f/ cdnsci cdnpoli fw.to/euue,unrelated tweets,0.2,Positive
255,vox news liberal super-donors pulling us rightward super-wealthy steering... bit.ly/zsbmqx uniteblue tcot,liberals,0.0,Neutral
256,sevenslide retweeted bergg,unrelated tweets,0.0,Neutral
257,long past time harper go writes cdnpoli elxn voteabc huffingtonpost.ca/hassan-arif/federal-election-_b_.html ... via,conservatives,-0.15,Negative
258,canada trading nation ndp knows work better trade policy canada. thx george helen speigelmen pic.twitter.com/lglohvi,ndp,0.5,Positive
259,laura stavros added,unrelated tweets,0.0,Neutral
260,always happy eat live free.short attention span.unconditional love even bad owner. liberal trust dog,liberals,0.1840909090909092,Positive
261,love things canada. vote! cdnpoli elxn twitter.com/stevieharpless/status/ ...,unrelated tweets,0.625,Positive
262,make vote plan green party canada cdnpoli elxn greenparty.ca/en/make-a-plan,other_parties,-0.2,Negative
263,cdnpoli,unrelated tweets,0.0,Neutral
264,canadian elxn voters,unrelated tweets,0.0,Neutral
265,like us share page on.fb.me/iiaftc cdnpoli,unrelated tweets,0.0,Neutral
266,rt john_delgrande days reasons vote cpc elxn cdnpoli,conservatives,0.0,Neutral
267,elizabethmay justintrudeau premierministreharper thomasmulcair =nowealthfru,liberals,0.0,Neutral
268,cdnpoli twitter.com/kristinebeh/status/ ...,unrelated tweets,0.0,Neutral
269,what? trudeau 'revival islamic spirit' convention year? blasphemy. mulcair niqab eh? twitter.com/risconvention/status/ ...,liberals,0.0,Neutral
270,ajax alxandr retweeted danno,unrelated tweets,0.0,Neutral
271,getting canadians vote good ideas cdnpoli elxn natpo.st/fxahp via,unrelated tweets,0.7,Positive
272,en.wikipedia.org/wiki/newspaper_endorsements_in_the_canadian_federal_election,unrelated tweets,0.0,Neutral
273,csis parliamentary oversight,unrelated tweets,0.0,Neutral
274,watch live ndp leader tommulcair speak rally courtenay,ndp,0.1363636363636364,Positive
275,obama seemed like great potus strictly bc color skin,unrelated tweets,0.8,Positive
276,explain need voter id? cdnpoli elxn liberal ndp twitter.com/nspector/status/ ...,liberals,0.0,Neutral
277,sebastien belliveau added,unrelated tweets,0.0,Neutral
278,canada canadavotes,unrelated tweets,0.0,Neutral
279,cdnpoli elxn forget harper appointed senators,conservatives,0.0,Neutral
280,pm made global impact foreign visits us ngo oneindia.com/india/pm-has-made-global-impact-with-his-foreign-visits-us-ngo-.html ... primeminister,unrelated tweets,-0.0625,Negative
281,mulcair ndp elxn election yyc pic.twitter.com/lgdgmwxmgb,ndp,0.0,Neutral
282,chaggy mypet liberal fakeeapelection pic.twitter.com/xemzfvsmfd,liberals,0.0,Neutral
283,far like trudeau justnotready sens,liberals,0.1,Positive
284,elected ndp government alberta may table budget six months justintrudeau forms government elxn,liberals,0.0,Neutral
285,send msg fed exln vote anybody carenotcuts onpoli cdnpoli pic.twitter.com/wtiguku,unrelated tweets,0.0,Neutral
286,brian added,unrelated tweets,0.0,Neutral
287,voted yet? elxn cdnpoli twitter.com/huffpostcanada/status/ ...,unrelated tweets,0.0,Neutral
288,tirelessly dedicated life public service. honoured support torcen! lpc pic.twitter.com/blbqxqs,liberals,0.0,Neutral
289,ready change vote mulcair twitter.com/thomasmulcair/status/ ...,ndp,0.2,Positive
290,mulcair dit << avoir vu venir >> l'affaire du niqab. nous,ndp,0.0,Neutral
291,big turnout! long lineups reported advance polls open across country elxn cdnpoli huffingtonpost.ca////long-lineups-reported-as-advance-polls-open-across-the-country_n_.html ... via,unrelated tweets,-0.01666666666666667,Negative
292,fav ppl votes cast u family tonight ndp win majority pic.twitter.com/uryhkct,ndp,0.8,Positive
293,david blain added,unrelated tweets,0.0,Neutral
294,driving around durham lpc putting deceiving slogan signs.shows waste,liberals,-0.2,Negative
295,harper changed character canada worse. vote realchange! on.thestar.com/qcmzr via,liberals,-0.5,Negative
296,chafta ads sharper edge ndp tpp ads twitter.com/ndp_hq/status/ ... politics advertising trade communication,ndp,0.0,Neutral
297,cbc.ca/. pic.twitter.com/wkdvmqggo,unrelated tweets,0.0,Neutral
298,editorial harper clear choice economy cdnpoli elxn elxn torontosun.com////harper-clear-choice-on-the-economy.vhjqkzyxsva.twitter ...,conservatives,0.1,Positive
299,great meet you! article candidate stand gmo labelling? huff.to/ibrzqb cdnpoli,unrelated tweets,1.0,Positive
300,trudeau's elxnclickmonkeys,liberals,0.0,Neutral
301,blazingcatfur.ca// arek-fatah-exposes-radical-links-of-islamist-who-desecrated-citizenship-ceremony-elxn/ ... cdnpoli,unrelated tweets,0.0,Neutral
302,let us miss opportunity portmoody coquitlam voteyourvalues part movement realchange twitter.com/womanwhovotes/status/ ...,liberals,0.0,Neutral
303,bete politique retweeted mustapha tehfe,unrelated tweets,0.0,Neutral
304,union b.c. indian chiefs demands b.c. tory bob zimmer seek re-election cbc.ca/. bcpoli elxn cdnpoli,conservatives,0.0,Neutral
305,"tommulcair campaign trail bc weekend. today mainland ""all across bc",ndp,0.0,Neutral
306,war,unrelated tweets,0.0,Neutral
307,rob berton added,unrelated tweets,0.0,Neutral
308,first ndp legislation would hike corporate taxes,ndp,0.125,Positive
309,oui mais l'utilisation partisane de harper elle ne l'est pas. elxn,conservatives,0.0,Neutral
